datetime,ghi,dni,dhi,temp_air,wind_speed
2023-01-01 00:00:00,0.0,0.0,0.0,4.21,2.33
2023-01-01 01:00:00,0.0,0.0,0.0,3.95,2.21
2023-01-01 02:00:00,0.0,0.0,0.0,3.78,2.07
2023-01-01 03:00:00,0.0,0.0,0.0,3.39,2.12
2023-01-01 04:00:00,0.0,0.0,0.0,2.71,2.4
2023-01-01 05:00:00,0.0,0.0,0.0,2.08,2.71
2023-01-01 06:00:00,0.0,0.0,0.0,1.51,3.04
2023-01-01 07:00:00,35.97,53.5,34.49,1.91,3.28
2023-01-01 08:00:00,182.45,186.94,137.24,5.72,3.83
2023-01-01 09:00:00,327.33,316.26,212.79,8.11,5.1
2023-01-01 10:00:00,440.92,401.64,266.12,10.06,6.4
2023-01-01 11:00:00,500.83,392.79,263.7,11.29,7.36
2023-01-01 12:00:00,515.72,438.14,322.02,12.19,7.5
2023-01-01 13:00:00,414.25,209.32,305.41,12.81,7.29
2023-01-01 14:00:00,306.3,169.4,239.45,12.71,6.91
2023-01-01 15:00:00,172.52,115.22,136.16,11.85,5.83
2023-01-01 16:00:00,38.67,37.01,37.61,8.76,3.53
2023-01-01 17:00:00,0.0,0.0,0.0,6.75,3.5
2023-01-01 18:00:00,0.0,0.0,0.0,6.52,3.42
2023-01-01 19:00:00,0.0,0.0,0.0,6.29,3.34
2023-01-01 20:00:00,0.0,0.0,0.0,5.75,3.35
2023-01-01 21:00:00,0.0,0.0,0.0,4.56,3.42
2023-01-01 22:00:00,0.0,0.0,0.0,3.4,3.47
2023-01-01 23:00:00,0.0,0.0,0.0,3.22,3.47
2023-01-02 00:00:00,0.0,0.0,0.0,3.25,3.52
2023-01-02 01:00:00,0.0,0.0,0.0,3.26,3.62
2023-01-02 02:00:00,0.0,0.0,0.0,3.08,3.69
2023-01-02 03:00:00,0.0,0.0,0.0,3.23,3.61
2023-01-02 04:00:00,0.0,0.0,0.0,3.52,3.43
2023-01-02 05:00:00,0.0,0.0,0.0,3.51,3.27
2023-01-02 06:00:00,0.0,0.0,0.0,3.16,3.23
2023-01-02 07:00:00,32.05,54.8,30.87,3.52,3.18
2023-01-02 08:00:00,165.0,213.96,123.3,6.66,3.84
2023-01-02 09:00:00,297.27,307.35,192.91,8.98,4.41
2023-01-02 10:00:00,404.0,368.47,233.91,11.75,5.56
2023-01-02 11:00:00,468.58,442.6,236.04,13.55,5.63
2023-01-02 12:00:00,483.48,560.98,184.72,14.76,5.29
2023-01-02 13:00:00,450.35,523.23,201.56,15.31,4.95
2023-01-02 14:00:00,329.92,422.75,176.86,15.14,4.76
2023-01-02 15:00:00,185.52,260.41,121.4,13.9,3.72
2023-01-02 16:00:00,41.35,89.83,36.02,10.57,2.98
2023-01-02 17:00:00,0.0,0.0,0.0,8.53,3.37
2023-01-02 18:00:00,0.0,0.0,0.0,7.54,3.52
2023-01-02 19:00:00,0.0,0.0,0.0,6.29,3.6
2023-01-02 20:00:00,0.0,0.0,0.0,5.44,3.52
2023-01-02 21:00:00,0.0,0.0,0.0,4.79,3.37
2023-01-02 22:00:00,0.0,0.0,0.0,4.36,3.18
2023-01-02 23:00:00,0.0,0.0,0.0,4.03,3.01
2023-01-03 00:00:00,0.0,0.0,0.0,3.76,2.86
2023-01-03 01:00:00,0.0,0.0,0.0,3.47,2.73
2023-01-03 02:00:00,0.0,0.0,0.0,3.27,2.59
2023-01-03 03:00:00,0.0,0.0,0.0,3.08,2.49
2023-01-03 04:00:00,0.0,0.0,0.0,2.92,2.41
2023-01-03 05:00:00,0.0,0.0,0.0,2.8,2.33
2023-01-03 06:00:00,0.0,0.0,0.0,2.71,2.25
2023-01-03 07:00:00,48.38,292.51,23.71,3.12,2.14
2023-01-03 08:00:00,229.12,731.07,53.62,6.05,2.02
2023-01-03 09:00:00,398.27,830.08,76.65,8.82,2.33
2023-01-03 10:00:00,523.1,897.53,84.56,12.16,1.94
2023-01-03 11:00:00,592.35,939.03,89.29,14.25,1.97
2023-01-03 12:00:00,601.6,955.99,82.92,15.24,1.97
2023-01-03 13:00:00,536.15,920.11,81.86,15.67,1.58
2023-01-03 14:00:00,414.73,853.82,74.34,15.62,1.15
2023-01-03 15:00:00,245.8,713.07,56.14,14.77,0.86
2023-01-03 16:00:00,60.6,310.6,26.77,12.75,0.92
2023-01-03 17:00:00,0.0,0.0,0.0,11.29,1.09
2023-01-03 18:00:00,0.0,0.0,0.0,10.43,1.21
2023-01-03 19:00:00,0.0,0.0,0.0,9.62,1.27
2023-01-03 20:00:00,0.0,0.0,0.0,8.75,1.33
2023-01-03 21:00:00,0.0,0.0,0.0,7.87,1.37
2023-01-03 22:00:00,0.0,0.0,0.0,7.23,1.31
2023-01-03 23:00:00,0.0,0.0,0.0,6.76,1.11
2023-01-04 00:00:00,0.0,0.0,0.0,6.4,0.9
2023-01-04 01:00:00,0.0,0.0,0.0,5.97,0.73
2023-01-04 02:00:00,0.0,0.0,0.0,5.47,0.61
2023-01-04 03:00:00,0.0,0.0,0.0,5.0,0.56
2023-01-04 04:00:00,0.0,0.0,0.0,4.69,0.67
2023-01-04 05:00:00,0.0,0.0,0.0,4.32,0.83
2023-01-04 06:00:00,0.0,0.0,0.0,3.93,0.97
2023-01-04 07:00:00,43.62,202.86,25.74,3.96,1.07
2023-01-04 08:00:00,218.4,609.87,66.59,5.89,1.13
2023-01-04 09:00:00,387.95,754.63,93.48,8.19,1.43
2023-01-04 10:00:00,514.6,842.32,99.07,11.21,1.91
2023-01-04 11:00:00,583.9,883.65,102.14,14.51,3.72
2023-01-04 12:00:00,595.22,937.65,84.57,15.43,3.98
2023-01-04 13:00:00,532.7,911.44,79.91,15.71,4.0
2023-01-04 14:00:00,410.92,841.0,75.85,15.53,4.02
2023-01-04 15:00:00,243.27,711.05,57.5,14.66,3.56
2023-01-04 16:00:00,60.75,312.33,27.72,10.62,2.83
2023-01-04 17:00:00,0.0,0.0,0.0,8.09,3.33
2023-01-04 18:00:00,0.0,0.0,0.0,7.2,3.58
2023-01-04 19:00:00,0.0,0.0,0.0,6.31,3.76
2023-01-04 20:00:00,0.0,0.0,0.0,5.41,3.79
2023-01-04 21:00:00,0.0,0.0,0.0,4.53,3.63
2023-01-04 22:00:00,0.0,0.0,0.0,3.73,3.39
2023-01-04 23:00:00,0.0,0.0,0.0,3.13,3.2
2023-01-05 00:00:00,0.0,0.0,0.0,2.73,3.02
2023-01-05 01:00:00,0.0,0.0,0.0,2.51,2.87
2023-01-05 02:00:00,0.0,0.0,0.0,2.43,2.71
2023-01-05 03:00:00,0.0,0.0,0.0,2.38,2.52
2023-01-05 04:00:00,0.0,0.0,0.0,2.34,2.34
2023-01-05 05:00:00,0.0,0.0,0.0,2.34,2.16
2023-01-05 06:00:00,0.0,0.0,0.0,2.41,1.95
2023-01-05 07:00:00,44.7,219.89,25.53,2.95,1.69
2023-01-05 08:00:00,222.65,636.26,64.74,5.57,1.46
2023-01-05 09:00:00,393.62,792.58,88.28,7.9,1.09
2023-01-05 10:00:00,520.97,860.97,96.12,11.26,1.08
2023-01-05 11:00:00,590.2,894.7,101.48,13.37,1.48
2023-01-05 12:00:00,602.65,942.98,84.05,14.09,1.96
2023-01-05 13:00:00,539.8,923.4,79.75,14.36,2.61
2023-01-05 14:00:00,417.25,848.59,77.15,14.12,3.27
2023-01-05 15:00:00,248.5,718.31,58.97,13.23,3.6
2023-01-05 16:00:00,63.67,325.18,28.4,9.48,2.78
2023-01-05 17:00:00,0.0,0.0,0.0,6.64,3.18
2023-01-05 18:00:00,0.0,0.0,0.0,5.63,3.16
2023-01-05 19:00:00,0.0,0.0,0.0,4.71,3.04
2023-01-05 20:00:00,0.0,0.0,0.0,3.89,2.87
2023-01-05 21:00:00,0.0,0.0,0.0,3.18,2.69
2023-01-05 22:00:00,0.0,0.0,0.0,2.67,2.48
2023-01-05 23:00:00,0.0,0.0,0.0,2.4,2.18
2023-01-06 00:00:00,0.0,0.0,0.0,2.35,1.84
2023-01-06 01:00:00,0.0,0.0,0.0,2.4,1.5
2023-01-06 02:00:00,0.0,0.0,0.0,2.26,1.27
2023-01-06 03:00:00,0.0,0.0,0.0,2.16,1.16
2023-01-06 04:00:00,0.0,0.0,0.0,1.78,1.18
2023-01-06 05:00:00,0.0,0.0,0.0,1.26,1.3
2023-01-06 06:00:00,0.0,0.0,0.0,0.67,1.49
2023-01-06 07:00:00,48.15,297.17,23.1,0.62,1.64
2023-01-06 08:00:00,232.65,730.14,53.52,3.41,1.99
2023-01-06 09:00:00,406.58,876.64,70.29,5.8,1.92
2023-01-06 10:00:00,535.78,939.72,74.9,9.61,2.23
2023-01-06 11:00:00,606.6,972.11,78.11,11.36,2.53
2023-01-06 12:00:00,608.58,946.92,85.92,12.29,2.77
2023-01-06 13:00:00,547.25,934.1,79.95,12.71,3.08
2023-01-06 14:00:00,425.4,866.34,76.25,12.59,3.34
2023-01-06 15:00:00,256.35,744.72,58.27,11.8,3.15
2023-01-06 16:00:00,68.12,351.23,29.11,8.75,2.07
2023-01-06 17:00:00,0.0,0.0,0.0,7.13,1.84
2023-01-06 18:00:00,0.0,0.0,0.0,7.05,1.3
2023-01-06 19:00:00,0.0,0.0,0.0,6.91,0.72
2023-01-06 20:00:00,0.0,0.0,0.0,6.45,0.42
2023-01-06 21:00:00,0.0,0.0,0.0,5.62,0.76
2023-01-06 22:00:00,0.0,0.0,0.0,4.72,1.21
2023-01-06 23:00:00,0.0,0.0,0.0,3.82,1.57
2023-01-07 00:00:00,0.0,0.0,0.0,3.07,1.81
2023-01-07 01:00:00,0.0,0.0,0.0,2.5,1.97
2023-01-07 02:00:00,0.0,0.0,0.0,2.11,2.03
2023-01-07 03:00:00,0.0,0.0,0.0,1.81,2.06
2023-01-07 04:00:00,0.0,0.0,0.0,1.47,2.11
2023-01-07 05:00:00,0.0,0.0,0.0,1.18,2.19
2023-01-07 06:00:00,0.0,0.0,0.0,0.95,2.27
2023-01-07 07:00:00,50.62,349.37,21.59,1.22,2.34
2023-01-07 08:00:00,238.75,782.39,47.61,4.4,2.75
2023-01-07 09:00:00,413.73,919.15,61.38,6.98,2.83
2023-01-07 10:00:00,542.3,975.14,64.62,10.38,3.15
2023-01-07 11:00:00,611.75,992.28,68.12,12.53,3.82
2023-01-07 12:00:00,613.4,975.69,74.49,13.41,4.2
2023-01-07 13:00:00,551.8,961.95,70.05,13.79,4.53
2023-01-07 14:00:00,430.17,894.94,67.91,13.6,4.69
2023-01-07 15:00:00,260.73,777.05,52.86,12.76,4.35
2023-01-07 16:00:00,71.53,386.95,27.78,8.98,2.84
2023-01-07 17:00:00,0.0,0.0,0.0,6.32,2.98
2023-01-07 18:00:00,0.0,0.0,0.0,5.34,3.06
2023-01-07 19:00:00,0.0,0.0,0.0,4.37,3.23
2023-01-07 20:00:00,0.0,0.0,0.0,3.48,3.33
2023-01-07 21:00:00,0.0,0.0,0.0,2.8,3.27
2023-01-07 22:00:00,0.0,0.0,0.0,2.33,3.0
2023-01-07 23:00:00,0.0,0.0,0.0,1.76,2.77
2023-01-08 00:00:00,0.0,0.0,0.0,0.89,2.8
2023-01-08 01:00:00,0.0,0.0,0.0,0.05,3.06
2023-01-08 02:00:00,0.0,0.0,0.0,-0.56,3.37
2023-01-08 03:00:00,0.0,0.0,0.0,-0.91,3.62
2023-01-08 04:00:00,0.0,0.0,0.0,-1.08,3.76
2023-01-08 05:00:00,0.0,0.0,0.0,-1.25,3.75
2023-01-08 06:00:00,0.0,0.0,0.0,-1.45,3.6
2023-01-08 07:00:00,51.9,377.56,20.66,-0.38,3.36
2023-01-08 08:00:00,242.18,808.11,44.87,4.13,4.12
2023-01-08 09:00:00,418.33,940.01,57.58,7.17,3.77
2023-01-08 10:00:00,548.1,994.43,60.45,11.04,4.91
2023-01-08 11:00:00,618.28,1008.14,64.78,13.67,6.79
2023-01-08 12:00:00,617.78,975.94,76.55,14.79,7.34
2023-01-08 13:00:00,554.35,956.04,72.95,15.29,7.44
2023-01-08 14:00:00,428.2,868.83,73.24,15.23,7.11
2023-01-08 15:00:00,255.95,705.96,63.01,14.29,5.81
2023-01-08 16:00:00,69.8,318.62,30.78,9.87,3.64
2023-01-08 17:00:00,0.0,0.0,0.0,6.74,3.9
2023-01-08 18:00:00,0.0,0.0,0.0,5.88,3.9
2023-01-08 19:00:00,0.0,0.0,0.0,5.25,3.9
2023-01-08 20:00:00,0.0,0.0,0.0,4.78,3.95
2023-01-08 21:00:00,0.0,0.0,0.0,4.49,4.05
2023-01-08 22:00:00,0.0,0.0,0.0,4.36,4.27
2023-01-08 23:00:00,0.0,0.0,0.0,4.33,4.63
2023-01-09 00:00:00,0.0,0.0,0.0,4.31,5.03
2023-01-09 01:00:00,0.0,0.0,0.0,4.22,5.29
2023-01-09 02:00:00,0.0,0.0,0.0,4.03,5.35
2023-01-09 03:00:00,0.0,0.0,0.0,3.73,5.28
2023-01-09 04:00:00,0.0,0.0,0.0,3.52,5.17
2023-01-09 05:00:00,0.0,0.0,0.0,3.66,5.12
2023-01-09 06:00:00,0.0,0.0,0.0,4.03,5.3
2023-01-09 07:00:00,46.03,267.19,23.25,4.55,5.5
2023-01-09 08:00:00,220.85,663.18,56.31,6.1,6.02
2023-01-09 09:00:00,390.0,822.16,74.41,8.16,6.27
2023-01-09 10:00:00,519.92,906.54,74.96,11.33,7.84
2023-01-09 11:00:00,591.95,960.4,69.71,13.7,8.73
2023-01-09 12:00:00,534.4,825.19,94.29,14.93,8.74
2023-01-09 13:00:00,460.65,694.67,125.54,15.55,8.49
2023-01-09 14:00:00,350.88,697.59,80.93,15.58,8.01
2023-01-09 15:00:00,220.52,604.38,60.84,14.86,7.18
2023-01-09 16:00:00,66.32,317.41,30.92,12.33,4.56
2023-01-09 17:00:00,0.0,0.0,0.0,9.24,3.81
2023-01-09 18:00:00,0.0,0.0,0.0,8.12,3.83
2023-01-09 19:00:00,0.0,0.0,0.0,7.19,3.78
2023-01-09 20:00:00,0.0,0.0,0.0,6.26,3.61
2023-01-09 21:00:00,0.0,0.0,0.0,5.42,3.41
2023-01-09 22:00:00,0.0,0.0,0.0,4.7,3.23
2023-01-09 23:00:00,0.0,0.0,0.0,4.08,3.17
2023-01-10 00:00:00,0.0,0.0,0.0,3.56,3.18
2023-01-10 01:00:00,0.0,0.0,0.0,3.23,3.15
2023-01-10 02:00:00,0.0,0.0,0.0,3.66,3.0
2023-01-10 03:00:00,0.0,0.0,0.0,4.38,3.23
2023-01-10 04:00:00,0.0,0.0,0.0,4.86,3.51
2023-01-10 05:00:00,0.0,0.0,0.0,5.19,3.49
2023-01-10 06:00:00,0.0,0.0,0.0,5.27,3.29
2023-01-10 07:00:00,45.95,243.33,25.55,5.8,3.25
2023-01-10 08:00:00,209.75,549.17,75.99,7.05,3.17
2023-01-10 09:00:00,346.23,564.9,132.33,8.83,2.85
2023-01-10 10:00:00,438.17,559.32,182.53,12.04,3.13
2023-01-10 11:00:00,476.8,531.43,222.15,13.75,2.76
2023-01-10 12:00:00,489.15,699.16,117.92,14.81,2.59
2023-01-10 13:00:00,440.27,521.86,180.47,15.37,2.62
2023-01-10 14:00:00,339.17,491.74,142.88,15.39,2.74
2023-01-10 15:00:00,207.93,433.78,90.47,14.78,2.84
2023-01-10 16:00:00,61.9,239.45,36.65,11.94,2.11
2023-01-10 17:00:00,0.0,0.0,0.0,9.72,2.28
2023-01-10 18:00:00,0.0,0.0,0.0,9.09,2.24
2023-01-10 19:00:00,0.0,0.0,0.0,8.56,2.15
2023-01-10 20:00:00,0.0,0.0,0.0,8.1,2.01
2023-01-10 21:00:00,0.0,0.0,0.0,7.63,1.88
2023-01-10 22:00:00,0.0,0.0,0.0,7.09,1.8
2023-01-10 23:00:00,0.0,0.0,0.0,6.49,1.75
2023-01-11 00:00:00,0.0,0.0,0.0,6.07,1.58
2023-01-11 01:00:00,0.0,0.0,0.0,5.93,1.15
2023-01-11 02:00:00,0.0,0.0,0.0,5.98,0.37
2023-01-11 03:00:00,0.0,0.0,0.0,5.6,0.58
2023-01-11 04:00:00,0.0,0.0,0.0,5.15,1.07
2023-01-11 05:00:00,0.0,0.0,0.0,4.99,1.11
2023-01-11 06:00:00,0.0,0.0,0.0,4.76,1.09
2023-01-11 07:00:00,50.0,342.06,19.85,4.72,1.3
2023-01-11 08:00:00,234.68,766.3,44.17,6.99,1.82
2023-01-11 09:00:00,408.38,888.87,58.66,9.21,1.97
2023-01-11 10:00:00,538.22,961.27,62.69,12.72,2.02
2023-01-11 11:00:00,610.2,978.36,67.19,14.67,2.19
2023-01-11 12:00:00,616.22,991.54,65.38,15.62,2.31
2023-01-11 13:00:00,552.75,932.59,75.12,16.04,2.47
2023-01-11 14:00:00,430.5,848.16,76.4,15.81,2.78
2023-01-11 15:00:00,263.42,717.94,63.34,14.89,2.65
2023-01-11 16:00:00,78.78,394.43,32.15,11.83,2.32
2023-01-11 17:00:00,0.0,0.0,0.0,9.31,2.75
2023-01-11 18:00:00,0.0,0.0,0.0,8.47,2.92
2023-01-11 19:00:00,0.0,0.0,0.0,7.82,3.0
2023-01-11 20:00:00,0.0,0.0,0.0,7.28,3.01
2023-01-11 21:00:00,0.0,0.0,0.0,6.69,2.95
2023-01-11 22:00:00,0.0,0.0,0.0,6.3,2.91
2023-01-11 23:00:00,0.0,0.0,0.0,5.92,2.87
2023-01-12 00:00:00,0.0,0.0,0.0,5.49,2.83
2023-01-12 01:00:00,0.0,0.0,0.0,5.27,2.84
2023-01-12 02:00:00,0.0,0.0,0.0,5.17,2.98
2023-01-12 03:00:00,0.0,0.0,0.0,5.31,3.32
2023-01-12 04:00:00,0.0,0.0,0.0,5.45,3.79
2023-01-12 05:00:00,0.0,0.0,0.0,5.57,4.1
2023-01-12 06:00:00,0.0,0.0,0.0,5.76,4.22
2023-01-12 07:00:00,28.6,41.04,28.08,6.08,4.21
2023-01-12 08:00:00,159.12,105.97,128.59,7.07,4.09
2023-01-12 09:00:00,298.5,186.14,229.7,9.03,4.11
2023-01-12 10:00:00,410.55,294.56,264.66,11.7,3.87
2023-01-12 11:00:00,499.25,300.03,334.37,13.95,2.97
2023-01-12 12:00:00,436.6,232.51,283.75,14.99,1.87
2023-01-12 13:00:00,431.6,280.82,259.57,15.14,1.37
2023-01-12 14:00:00,355.7,416.06,192.59,14.76,1.75
2023-01-12 15:00:00,227.25,414.42,115.93,14.02,2.46
2023-01-12 16:00:00,71.72,258.4,43.11,11.79,2.23
2023-01-12 17:00:00,0.0,0.0,0.0,9.31,2.9
2023-01-12 18:00:00,0.0,0.0,0.0,8.25,3.17
2023-01-12 19:00:00,0.0,0.0,0.0,7.24,3.22
2023-01-12 20:00:00,0.0,0.0,0.0,6.28,3.13
2023-01-12 21:00:00,0.0,0.0,0.0,5.42,2.95
2023-01-12 22:00:00,0.0,0.0,0.0,4.81,2.77
2023-01-12 23:00:00,0.0,0.0,0.0,4.6,2.59
2023-01-13 00:00:00,0.0,0.0,0.0,4.3,2.49
2023-01-13 01:00:00,0.0,0.0,0.0,3.89,2.48
2023-01-13 02:00:00,0.0,0.0,0.0,3.42,2.45
2023-01-13 03:00:00,0.0,0.0,0.0,3.19,2.38
2023-01-13 04:00:00,0.0,0.0,0.0,3.05,2.31
2023-01-13 05:00:00,0.0,0.0,0.0,2.92,2.19
2023-01-13 06:00:00,0.0,0.0,0.0,2.9,1.99
2023-01-13 07:00:00,47.83,298.87,22.29,3.66,1.64
2023-01-13 08:00:00,228.93,714.62,49.87,6.39,1.71
2023-01-13 09:00:00,403.42,847.15,67.11,8.88,1.52
2023-01-13 10:00:00,535.95,934.16,69.54,12.39,2.02
2023-01-13 11:00:00,607.6,962.67,72.35,13.82,2.63
2023-01-13 12:00:00,610.25,934.85,83.16,14.53,3.11
2023-01-13 13:00:00,552.8,909.53,80.68,14.81,3.64
2023-01-13 14:00:00,435.3,850.26,75.42,14.61,4.2
2023-01-13 15:00:00,270.08,730.11,59.44,13.86,4.48
2023-01-13 16:00:00,84.85,392.04,31.54,10.99,3.14
2023-01-13 17:00:00,0.0,0.0,0.0,8.05,3.17
2023-01-13 18:00:00,0.0,0.0,0.0,7.04,3.24
2023-01-13 19:00:00,0.0,0.0,0.0,6.12,3.35
2023-01-13 20:00:00,0.0,0.0,0.0,5.23,3.36
2023-01-13 21:00:00,0.0,0.0,0.0,4.46,3.22
2023-01-13 22:00:00,0.0,0.0,0.0,3.87,3.08
2023-01-13 23:00:00,0.0,0.0,0.0,3.22,3.06
2023-01-14 00:00:00,0.0,0.0,0.0,2.52,3.06
2023-01-14 01:00:00,0.0,0.0,0.0,1.95,3.02
2023-01-14 02:00:00,0.0,0.0,0.0,1.6,2.92
2023-01-14 03:00:00,0.0,0.0,0.0,1.46,2.85
2023-01-14 04:00:00,0.0,0.0,0.0,1.39,2.8
2023-01-14 05:00:00,0.0,0.0,0.0,1.45,2.65
2023-01-14 06:00:00,0.0,0.0,0.0,1.35,2.66
2023-01-14 07:00:00,42.92,211.8,25.49,2.12,2.5
2023-01-14 08:00:00,199.0,520.8,72.85,4.12,2.64
2023-01-14 09:00:00,356.2,601.38,123.4,6.3,2.25
2023-01-14 10:00:00,482.2,612.49,176.7,9.5,1.77
2023-01-14 11:00:00,594.97,918.87,105.0,12.32,1.29
2023-01-14 12:00:00,625.05,958.23,85.82,14.01,1.09
2023-01-14 13:00:00,571.95,955.63,74.52,14.89,1.0
2023-01-14 14:00:00,452.8,904.98,68.13,15.02,0.92
2023-01-14 15:00:00,284.85,799.51,53.05,14.47,0.74
2023-01-14 16:00:00,93.93,482.25,30.32,12.44,0.56
2023-01-14 17:00:00,0.0,0.0,0.0,10.77,0.66
2023-01-14 18:00:00,0.0,0.0,0.0,9.91,0.55
2023-01-14 19:00:00,0.0,0.0,0.0,9.17,0.2
2023-01-14 20:00:00,0.0,0.0,0.0,8.65,0.32
2023-01-14 21:00:00,0.0,0.0,0.0,7.78,0.89
2023-01-14 22:00:00,0.0,0.0,0.0,6.76,1.35
2023-01-14 23:00:00,0.0,0.0,0.0,5.73,1.7
2023-01-15 00:00:00,0.0,0.0,0.0,4.75,1.99
2023-01-15 01:00:00,0.0,0.0,0.0,3.9,2.25
2023-01-15 02:00:00,0.0,0.0,0.0,3.17,2.52
2023-01-15 03:00:00,0.0,0.0,0.0,2.54,2.77
2023-01-15 04:00:00,0.0,0.0,0.0,2.0,2.99
2023-01-15 05:00:00,0.0,0.0,0.0,1.47,3.2
2023-01-15 06:00:00,0.0,0.0,0.0,0.99,3.38
2023-01-15 07:00:00,54.45,389.94,20.91,1.71,3.39
2023-01-15 08:00:00,248.2,813.11,45.51,6.2,4.02
2023-01-15 09:00:00,428.27,923.76,61.79,9.1,4.14
2023-01-15 10:00:00,562.75,992.6,64.66,12.73,4.95
2023-01-15 11:00:00,637.62,1021.15,66.81,14.87,5.65
2023-01-15 12:00:00,643.8,1000.36,73.43,15.99,6.12
2023-01-15 13:00:00,583.95,981.56,70.95,16.43,6.48
2023-01-15 14:00:00,462.23,911.63,69.02,16.18,6.62
2023-01-15 15:00:00,291.17,809.04,53.81,15.14,5.97
2023-01-15 16:00:00,98.0,503.3,31.46,11.04,3.75
2023-01-15 17:00:00,0.0,0.0,0.0,7.73,4.04
2023-01-15 18:00:00,0.0,0.0,0.0,6.94,4.3
2023-01-15 19:00:00,0.0,0.0,0.0,6.17,4.48
2023-01-15 20:00:00,0.0,0.0,0.0,5.32,4.43
2023-01-15 21:00:00,0.0,0.0,0.0,4.42,4.17
2023-01-15 22:00:00,0.0,0.0,0.0,3.72,3.98
2023-01-15 23:00:00,0.0,0.0,0.0,3.2,3.94
2023-01-16 00:00:00,0.0,0.0,0.0,2.77,4.05
2023-01-16 01:00:00,0.0,0.0,0.0,2.36,4.24
2023-01-16 02:00:00,0.0,0.0,0.0,2.09,4.31
2023-01-16 03:00:00,0.0,0.0,0.0,2.88,4.54
2023-01-16 04:00:00,0.0,0.0,0.0,3.67,4.84
2023-01-16 05:00:00,0.0,0.0,0.0,4.03,4.66
2023-01-16 06:00:00,0.0,0.0,0.0,4.35,4.3
2023-01-16 07:00:00,48.78,263.51,28.42,4.69,4.56
2023-01-16 08:00:00,221.7,572.7,79.95,5.39,5.22
2023-01-16 09:00:00,390.08,734.9,112.32,6.49,6.31
2023-01-16 10:00:00,522.05,806.36,130.9,7.82,7.72
2023-01-16 11:00:00,599.4,875.1,135.42,10.15,8.86
2023-01-16 12:00:00,612.1,853.95,135.01,12.28,9.58
2023-01-16 13:00:00,489.85,510.92,225.43,13.46,9.82
2023-01-16 14:00:00,381.2,579.53,156.15,13.75,9.4
2023-01-16 15:00:00,245.93,550.65,91.75,13.23,8.52
2023-01-16 16:00:00,87.12,405.78,36.08,10.98,6.07
2023-01-16 17:00:00,0.0,0.0,0.0,7.79,4.96
2023-01-16 18:00:00,0.0,0.0,0.0,6.97,5.18
2023-01-16 19:00:00,0.0,0.0,0.0,6.05,5.0
2023-01-16 20:00:00,0.0,0.0,0.0,5.22,4.77
2023-01-16 21:00:00,0.0,0.0,0.0,4.6,4.8
2023-01-16 22:00:00,0.0,0.0,0.0,4.02,4.95
2023-01-16 23:00:00,0.0,0.0,0.0,3.47,5.24
2023-01-17 00:00:00,0.0,0.0,0.0,3.06,5.65
2023-01-17 01:00:00,0.0,0.0,0.0,2.97,6.22
2023-01-17 02:00:00,0.0,0.0,0.0,3.01,6.72
2023-01-17 03:00:00,0.0,0.0,0.0,3.0,7.05
2023-01-17 04:00:00,0.0,0.0,0.0,2.89,6.91
2023-01-17 05:00:00,0.0,0.0,0.0,2.77,6.87
2023-01-17 06:00:00,0.0,0.0,0.0,2.27,6.59
2023-01-17 07:00:00,56.58,414.8,18.23,2.51,7.24
2023-01-17 08:00:00,246.35,810.07,40.85,3.8,8.17
2023-01-17 09:00:00,420.7,921.39,60.84,5.78,9.74
2023-01-17 10:00:00,549.53,955.43,72.67,8.01,10.65
2023-01-17 11:00:00,619.88,943.47,93.11,10.22,11.19
2023-01-17 12:00:00,629.8,900.37,126.27,11.87,11.64
2023-01-17 13:00:00,562.0,911.01,96.69,12.72,11.88
2023-01-17 14:00:00,448.83,854.91,82.12,12.72,11.69
2023-01-17 15:00:00,287.45,783.14,59.65,12.01,10.93
2023-01-17 16:00:00,104.15,479.45,30.68,10.23,8.99
2023-01-17 17:00:00,0.0,0.0,0.0,7.84,7.16
2023-01-17 18:00:00,0.0,0.0,0.0,6.29,6.0
2023-01-17 19:00:00,0.0,0.0,0.0,5.25,5.48
2023-01-17 20:00:00,0.0,0.0,0.0,4.45,5.14
2023-01-17 21:00:00,0.0,0.0,0.0,3.82,4.96
2023-01-17 22:00:00,0.0,0.0,0.0,3.69,5.29
2023-01-17 23:00:00,0.0,0.0,0.0,3.58,5.67
2023-01-18 00:00:00,0.0,0.0,0.0,3.54,6.22
2023-01-18 01:00:00,0.0,0.0,0.0,3.58,6.88
2023-01-18 02:00:00,0.0,0.0,0.0,3.75,7.57
2023-01-18 03:00:00,0.0,0.0,0.0,4.37,8.51
2023-01-18 04:00:00,0.0,0.0,0.0,5.07,9.15
2023-01-18 05:00:00,0.0,0.0,0.0,5.65,10.08
2023-01-18 06:00:00,0.0,0.0,0.0,5.78,10.41
2023-01-18 07:00:00,40.08,191.13,25.6,5.73,10.47
2023-01-18 08:00:00,156.02,423.74,68.2,6.56,10.99
2023-01-18 09:00:00,236.23,369.45,111.83,7.78,12.63
2023-01-18 10:00:00,310.85,285.06,193.56,8.72,13.73
2023-01-18 11:00:00,351.02,190.26,239.45,9.33,14.05
2023-01-18 12:00:00,348.05,245.23,226.07,9.42,13.79
2023-01-18 13:00:00,327.17,361.27,156.1,9.18,13.11
2023-01-18 14:00:00,311.65,569.48,100.47,8.68,12.41
